メガアブソルZ	151
メガガブリアスZ	151
メガルカリオZ	151
メガフーディン	150
メガプテラ	150
メガジュカイン	145
メガスピアー	145
メガゲッコウガ	142
ドラパルト	142
メガミミロップ	135
メガライボルト	135
メガマフォクシー	134
メガゲンガー	130
メガライチュウY	130
サンダース	130
プテラ	130
メガカエンジシ	126
ファイアロー	126
マニューラ	125
メガニャオニクス(メガニャオニクス♀)	124
メガニャオニクス(メガニャオニクス♂)	124
オンバーン	123
マスカーニャ	123
ゲッコウガ	122
メガピジョット	121
メガスターミー	120
メガボーマンダ	120
メガユキメノコ	120
インテレオン	120
オオニューラ	120
ジュカイン	120
フーディン	120
エースバーン	119
メガルチャブル	118
ルチャブル	118
エンニュート	117
エルフーン	116
メガアブソル	115
メガヘルガー	115
スターミー	115
ペルシアン	115
ペルシアン(アローラのすがた)	115
ジャローダ	113
メガルカリオ	112
ペンドラー	112
ルガルガン(まひるのすがた)	112
イッカネズミ	111
メガエアームド	110
メガエルレイド	110
メガムクホーク	110
メガメタグロス	110
メガライチュウX	110
エーフィ	110
ゲンガー	110
ケンタロス	110
ゾロアーク(ヒスイのすがた)	110
ユキメノコ	110
ライチュウ	110
ライチュウ(アローラのすがた)	110
ルガルガン(たそがれのすがた)	110
エレザード	109
キュウコン(アローラのすがた)	109
ゴウカザル	108
カエンジシ	106
レパルダス	106
メガカイロス	105
メガサメハダー	105
クエスパトラ	105
ゾロアーク	105
パーモット	105
ミミロップ	105
ライボルト	105
ニャオニクス(オスの姿)	104
ニャオニクス(メスの姿)	104
マフォクシー	104
メガドリュウズ	103
エモンガ	103
メガフラエッテ	102
ガブリアス	102
トリミアン	102
メガキラフロル	101
デデンネ	101
バオッキー	101
ピジョット	101
ヒヤッキー	101
ヤナッキー	101
メガオニゴーリ	100
メガカイリュー	100
メガガルーラ	100
メガサーナイト	100
メガタイレーツ	100
メガチャーレム	100
メガバシャーモ	100
メガリザードンX	100
メガリザードンY	100
イルカマン(ナイーブフォルム)	100
イルカマン(マイティフォルム)	100
ウルガモス	100
キュウコン	100
ケンタロス(パルデアのすがた炎)	100
ケンタロス(パルデアのすがた水)	100
ケンタロス(パルデアのすがた単)	100
バクフーン	100
ボーマンダ	100
ムクホーク	100
リザードン	100
パンプジン(こだましゅ)	99
サザンドラ	98
モルペコ	97
ミミッキュ	96
イエッサン(オスのすがた)	95
ウインディ	95
グライオン	95
サメハダー	95
バクフーン(ヒスイのすがた)	95
ヘルガー	95
リーフィア	95
デカヌチャン	94
メガガブリアス	92
イキリンコ(イエローフェザー)	92
イキリンコ(グリーンフェザー)	92
イキリンコ(ブルーフェザー)	92
イキリンコ(ホワイトフェザー)	92
フラエッテ(えいえんのはな)	92
ワルビアル	92
ロトム	91
メガシャンデラ	90
ウインディ(ヒスイのすがた)	90
ガルーラ	90
コノヨザル	90
バリヤード	90
ピカチュウ	90
フォクスライ	90
ルカリオ	90
ロズレイド	90
ビビヨン	89
メガガメノデス	88
メガカラマネロ	88
ドリュウズ	88
メガセグレイブ	87
セグレイブ	87
キラフロル	86
ロトム(ウォッシュロトム)	86
ロトム(カットロトム)	86
ロトム(スピンロトム)	86
ロトム(ヒートロトム)	86
ロトム(フロストロトム)	86
イエッサン(メスのすがた)	85
ウェーニバル	85
カイロス	85
ゴリランダー	85
ジャラランガ	85
ソウブレイズ	85
ダイケンキ(ヒスイのすがた)	85
ドクロッグ	85
バサギリ	85
ハリーセン	85
ハリーマン	85
ブリジュラス	85
ヘラクロス	85
マフィティフ	85
サーフゴー	84
パンプジン(ちゅうだましゅ)	84
ルガルガン(まよなかのすがた)	82
メガギャラドス	81
ギャラドス	81
ミロカロス	81
メガシビルドン	80
メガチルタリス	80
メガフシギバナ	80
メガメガニウム	80
アーボック	80
エルレイド	80
オニゴーリ	80
カイリュー	80
サーナイト	80
シャンデラ	80
チャーレム	80
チルタリス	80
ナゲツケサル	80
ヌメルゴン	80
バシャーモ	80
フシギバナ	80
マンムー	80
メガニウム	80
バイバニラ	79
メガオーダイル	78
メガカメックス	78
イダイトウ(オスのすがた)	78
イダイトウ(メスのすがた)	78
オーダイル	78
カメックス	78
ホルード	78
ミルホッグ	77
メガエンブオー	75
メガジュペッタ	75
メガスコヴィラン	75
メガハッサム	75
メガヘラクロス	75
アブソル	75
クレッフィ	75
グレンアルマ	75
スコヴィラン	75
ストリンダー(ハイなすがた)	75
ストリンダー(ローなすがた)	75
スピアー	75
タイレーツ	75
ダストダス	75
フラージェス	75
カラマネロ	73
アマージョ	72
ペロリーム	72
メガバンギラス	71
ガチゴラス	71
サダイジャ	71
メガウツボット	70
メガピクシー	70
メガラグラージ	70
アップリュー	70
ウツボット	70
エアームド	70
ジュナイパー	70
ダイケンキ	70
ニョロトノ	70
バリコオル	70
ポットデス	70
ポワルン	70
メタグロス	70
ヤバソチャ	70
レントラー	70
パンプジン(おおだましゅ)	69
メガズルズキン	68
ガメノデス	68
ゴーゴート	68
ハカドッグ	68
アーマーガア	67
ラウドボーン	66
メガチリーン	65
アヤシシ	65
エンブオー	65
グレイシア	65
シャワーズ	65
ジュペッタ	65
チリーン	65
ネギガナイト	65
ハッサム	65
ブースター	65
ブラッキー	65
ペリッパー	65
ミミズズ	65
ブリガロン	64
マホイップ	64
メガペンドラー	62
バンギラス	61
アシレーヌ	60
エンペルト	60
オーロンゲ	60
ガオガエン	60
カモネギ	60
ギルガルド(シールドフォルム)	60
ギルガルド(ブレードフォルム)	60
ジュナイパー(ヒスイのすがた)	60
ドデカバシ	60
ニンフィア	60
ヌメルゴン(ヒスイのすがた)	60
ピクシー	60
ヤレユータン	60
ユキノオー	60
ラグラージ	60
リキキリン	60
ブロスター	59
アマルルガ	58
ゴロンダ	58
ズルズキン	58
ラムパルド	58
オーロット	56
ドダイトス	56
メガゴルーグ	55
カイリキー	55
ゴルーグ	55
デンリュウ	55
マルノーム	55
パンプジン(ギガだましゅ)	54
メガクチート	50
メガタブンネ	50
メガボスゴドラ	50
クチート	50
シビルドン	50
タブンネ	50
ツンベアー	50
ドドゲザン	50
ニャイキング	50
ボスゴドラ	50
マリルリ	50
ヤミラミ	50
ラフレシア	50
メタモン	48
カバルドン	47
